Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[INFO  2024-06-06T16:56:14,558 net.lightbody.bmp.proxy.Main] (main) Starting BrowserMob Proxy version 2.1.4 
[INFO  2024-06-06T16:56:14,616 org.eclipse.jetty.util.log] (main) jetty-7.x.y-SNAPSHOT 
[INFO  2024-06-06T16:56:14,790 org.eclipse.jetty.util.log] (main) started o.e.j.s.ServletContextHandler{/,null} 
[INFO  2024-06-06T16:56:14,949 org.eclipse.jetty.util.log] (main) Started SelectChannelConnector@0.0.0.0:8080 
[INFO  2024-06-06T16:56:16,473 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-18) Starting proxy at address: 0.0.0.0/0.0.0.0:8083 
[INFO  2024-06-06T16:56:16,473 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-16) Starting proxy at address: 0.0.0.0/0.0.0.0:8082 
[INFO  2024-06-06T16:56:16,473 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-20) Starting proxy at address: 0.0.0.0/0.0.0.0:8081 
[INFO  2024-06-06T16:56:16,502 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-20) Proxy listening with TCP transport 
[INFO  2024-06-06T16:56:16,502 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-18) Proxy listening with TCP transport 
[INFO  2024-06-06T16:56:16,502 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-16) Proxy listening with TCP transport 
[INFO  2024-06-06T16:56:16,702 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-16) Proxy started at address: /0:0:0:0:0:0:0:0:8082 
[INFO  2024-06-06T16:56:16,702 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-18) Proxy started at address: /0:0:0:0:0:0:0:0:8083 
[INFO  2024-06-06T16:56:16,702 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp864852424-20) Proxy started at address: /0:0:0:0:0:0:0:0:8081 
[WARN  2024-06-06T16:56:22,397 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,398 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,594 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,595 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,802 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,802 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,839 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,839 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,855 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,856 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,956 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,957 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:22,997 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:22,997 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,524 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,524 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,531 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,531 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,532 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,533 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,561 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,561 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,565 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,565 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,575 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,576 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,603 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,603 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,610 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,610 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,611 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,611 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,613 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,614 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
